position,age,nationality
Goalkeeper,20,Scotland
Goalkeeper,26,England
Goalkeeper,37,England
Centre-Back,32,England
Centre-Back,34,Scotland
Centre-Back,23,Nigeria
Centre-Back,24,Australia
Left-Back,28,Italy
Left-Back,25,Scotland
Right-Back,23,England
Defensive Midfield,19,France
Defensive Midfield,27,China
Defensive Midfield,28,Denmark
Defensive Midfield,30,Ireland
Central Midfield,22,Spain
Central Midfield,23,England
Right Midfield,30,England
Left Midfield,27,Ireland
Attacking Midfield,24,Australia
Second Striker,21,Scotland
Centre-Forward,19,Thailand
Centre-Forward,21,England
Centre-Forward,26,England
Centre-Forward,26,England
Centre-Forward,34,England
Centre-Forward,32,Scotland
Centre-Forward,15,England
