position,age,nationality
Goalkeeper,31,England
Goalkeeper,26,England
Goalkeeper,21,Australia
Goalkeeper,20,England
Centre-Back,27,Congo
Centre-Back,29,France
Centre-Back,24,England
Centre-Back,33,New Zealand
Centre-Back,28,England
Centre-Back,19,Scotland
Centre-Back,21,England
Left-Back,23,Sweden
Left-Back,23,Sweden
Right-Back,35,Spain
Right-Back,28,Brazil
Right-Back,17,Wales
Defensive Midfield,22,France
Defensive Midfield,22,Serbia
Defensive Midfield,23,France
Defensive Midfield,19,England
Central Midfield,29,Norway
Central Midfield,31,Australia
Central Midfield,21,Congo
Right Midfield,32,Australia
Left Midfield,19,England
Attacking Midfield,31,England
Attacking Midfield,23,Argentina
Attacking Midfield,20,Spain
Attacking Midfield,16,England
Left Winger,21,Canada
Right Winger,25,Montenegro
Right Winger,21,England
Centre-Forward,28,Nigeria
Centre-Forward,23,France
Centre-Forward,33,Grenada
Centre-Forward,22,Scotland
Centre-Forward,18,England
