position,age,nationality
Goalkeeper,25,Brazil
Goalkeeper,36,Chile
Goalkeeper,20,Kosovo
Centre-Back,25,England
Centre-Back,25,France
Centre-Back,31,Argentina
Centre-Back,33,Belgium
Centre-Back,28,France
Centre-Back,22,Netherlands
Left-Back,24,France
Left-Back,22,Ukraine
Right-Back,29,England
Right-Back,27,Brazil
Defensive Midfield,34,Brazil
Central Midfield,28,Germany
Central Midfield,19,England
Central Midfield,29,England
Attacking Midfield,27,Belgium
Attacking Midfield,33,Spain
Left Winger,23,Germany
Right Winger,24,England
Right Winger,24,Portugal
Right Winger,28,Algeria
Right Winger,22,England
Centre-Forward,31,Argentina
Centre-Forward,22,Brazil
