position,age,nationality
Goalkeeper,27.0,England
Goalkeeper,38.0,Northern Ireland
Goalkeeper,25.0,Ireland
Centre-Back,25.0,England
Centre-Back,27.0,England
Centre-Back,31.0,Czech Republic
Centre-Back,25.0,England
Centre-Back,23.0,England
Centre-Back,17.0,Scotland
Left-Back,26.0,Chile
Left-Back,26.0,England
Right-Back,33.0,Ireland
Right-Back,27.0,England
Defensive Midfield,32.0,Scotland
Defensive Midfield,20.0,Spain
Defensive Midfield,16.0,Turkey
Central Midfield,25.0,Sweden
Central Midfield,33.0,England
Central Midfield,24.0,Spain
Central Midfield,23.0,England
Central Midfield,27.0,Ireland
Central Midfield,18.0,England
Right Midfield,25.0,England
Attacking Midfield,29.0,Belarus
Left Winger,16.0,England
Second Striker,27.0,Scotland
Centre-Forward,25.0,Nigeria
Centre-Forward,29.0,Serbia
Centre-Forward,24.0,England
Centre-Forward,23.0,England
Centre-Forward,27.0,Scotland
Centre-Forward,36.0,England
Centre-Forward,32.0,England
Centre-Forward,17.0,Netherlands
