position,age,nationality
Goalkeeper,36,England
Goalkeeper,38,Brazil
Goalkeeper,20,Sweden
Goalkeeper,24,Austria
Centre-Back,28,Belgium
Centre-Back,31,Austria
Centre-Back,30,Northern Ireland
Centre-Back,33,Uruguay
Centre-Back,32,Jamaica
Centre-Back,25,Ireland
Left-Back,25,Italy
Left-Back,34,Greece
Right-Back,29,Netherlands
Right-Back,28,Spain
Right-Back,23,Spain
Defensive Midfield,30,France
Defensive Midfield,24,England
Central Midfield,26,France
Central Midfield,24,England
Central Midfield,29,England
Central Midfield,19,Portugal
Left Midfield,28,Argentina
Left Midfield,25,Sweden
Left Winger,23,Nigeria
Right Winger,25,Spain
Centre-Forward,27,England
Centre-Forward,30,England
Centre-Forward,22,Venezuela
Centre-Forward,22,England
