position,age,nationality
Goalkeeper,29.0,England
Goalkeeper,19.0,Czech Republic
Goalkeeper,21.0,Hungary
Centre-Back,30.0,England
Centre-Back,29.0,Czech Republic
Centre-Back,20.0,England
Centre-Back,25.0,Wales
Centre-Back,23.0,United States
Centre-Back,23.0,Morocco
Centre-Back,29.0,Wales
Centre-Back,18.0,Switzerland
Centre-Back,19.0,England
Left-Back,27.0,DR Congo
Right-Back,19.0,England
Defensive Midfield,24.0,Switzerland
Defensive Midfield,25.0,Martinique
Defensive Midfield,18.0,England
Central Midfield,28.0,England
Central Midfield,22.0,England
Central Midfield,20.0,Wales
Central Midfield,17.0,England
Right Midfield,30.0,England
Left Midfield,31.0,Portugal
Attacking Midfield,25.0,Chile
Left Winger,19.0,England
Left Winger,18.0,England
Right Winger,20.0,England
Second Striker,26.0,Italy
Second Striker,19.0,England
Centre-Forward,31.0,South Africa
Centre-Forward,25.0,England
Centre-Forward,26.0,Egypt
Centre-Forward,32.0,Mexico
Centre-Forward,28.0,Brazil
Centre-Forward,17.0,England
