position,age,nationality
Goalkeeper,30.0,England
Goalkeeper,30.0,Wales
Goalkeeper,28.0,Northern Ireland
Goalkeeper,25.0,England
Centre-Back,30.0,Sweden
Centre-Back,28.0,England
Centre-Back,33.0,Northern Ireland
Centre-Back,23.0,England
Centre-Back,32.0,Uruguay
Centre-Back,19.0,England
Left-Back,28.0,North Macedonia
Right-Back,26.0,England
Right-Back,32.0,Ireland
Right-Back,20.0,England
Defensive Midfield,26.0,DR Congo
Defensive Midfield,25.0,Argentina
Defensive Midfield,20.0,England
Defensive Midfield,19.0,England
Central Midfield,27.0,Scotland
Central Midfield,26.0,Scotland
Central Midfield,34.0,Hungary
Left Midfield,24.0,England
Left Midfield,28.0,Northern Ireland
Attacking Midfield,29.0,Benin
Left Winger,21.0,Congo
Right Winger,28.0,France
Centre-Forward,26.0,Ireland
Centre-Forward,25.0,Nigeria
Centre-Forward,21.0,Czech Republic
Centre-Forward,30.0,Sweden
Centre-Forward,34.0,France
Centre-Forward,20.0,Jamaica
Centre-Forward,19.0,Burundi
