position,age,nationality
Goalkeeper,35,Australia
Goalkeeper,37,Switzerland
Goalkeeper,22,England
Defender,20,England
Centre-Back,27,Norway
Centre-Back,28,Northern Ireland
Centre-Back,29,Finland
Centre-Back,22,Australia
Centre-Back,18,England
Left-Back,27,England
Left-Back,18,England
Right-Back,25,Germany
Right-Back,27,Ghana
Right-Back,19,England
Right-Back,24,Sweden
Defensive Midfield,26,Northern Ireland
Defensive Midfield,33,France
Defensive Midfield,26,Nigeria
Defensive Midfield,25,Iran
Defensive Midfield,16,England
Central Midfield,25,Denmark
Central Midfield,29,England
Central Midfield,29,Hungary
Central Midfield,31,England
Central Midfield,15,Wales
Central Midfield,21,England
Right Midfield,28,Wales
Attacking Midfield,19,England
Right Winger,27,Senegal
Right Winger,29,"Korea, South"
Second Striker,25,United States
Centre-Forward,27,England
Centre-Forward,27,England
Centre-Forward,19,Jamaica
Centre-Forward,30,Norway
Centre-Forward,24,United States
Centre-Forward,22,Netherlands
Centre-Forward,28,England
