position,age,nationality
Goalkeeper,38,Australia
Goalkeeper,25,England
Goalkeeper,21,Philippines
Goalkeeper,26,Hungary
Centre-Back,30,Norway
Centre-Back,31,Northern Ireland
Centre-Back,26,Switzerland
Centre-Back,24,Algeria
Left-Back,30,Norway
Left-Back,20,Guyana
Right-Back,31,Czech Republic
Right-Back,27,Ireland
Defensive Midfield,30,Mali
Defensive Midfield,29,Northern Ireland
Defensive Midfield,29,Nigeria
Central Midfield,23,Belgium
Central Midfield,28,England
Central Midfield,34,England
Central Midfield,32,England
Central Midfield,19,Switzerland
Central Midfield,23,Czech Republic
Central Midfield,19,England
Central Midfield,18,England
Right Midfield,32,Ireland
Right Midfield,31,Wales
Right Midfield,28,Norway
Left Midfield,19,Sweden
Attacking Midfield,25,Costa Rica
Left Winger,17,Turkey
Second Striker,28,United States
Centre-Forward,30,England
Centre-Forward,30,England
Centre-Forward,27,Russia
Centre-Forward,23,Portugal
Centre-Forward,18,Italy
Centre-Forward,19,Finland
