position,age,nationality
Goalkeeper,35,United States
Goalkeeper,25,Ireland
Goalkeeper,22,Australia
Goalkeeper,18,Denmark
Goalkeeper,19,England
Centre-Back,31,England
Centre-Back,23,Mali
Centre-Back,22,Cameroon
Centre-Back,29,Iceland
Centre-Back,28,Nigeria
Centre-Back,26,Senegal
Centre-Back,22,Hungary
Centre-Back,24,England
Centre-Back,25,Ireland
Centre-Back,18,Ireland
Left-Back,26,England
Left-Back,19,England
Right-Back,22,England
Right-Back,33,Ecuador
Right-Back,32,Scotland
Right-Back,20,Kenya
Right-Back,18,England
Defensive Midfield,31,Iceland
Defensive Midfield,25,England
Central Midfield,23,Cote d'Ivoire
Central Midfield,25,Czech Republic
Central Midfield,26,England
Central Midfield,28,Wales
Central Midfield,18,Turkey
Central Midfield,18,Australia
Left Midfield,24,United States
Left Midfield,25,Ireland
Left Winger,18,Wales
Right Winger,28,"Korea, South"
Right Winger,31,England
Right Winger,23,Mali
Right Winger,18,England
Centre-Forward,23,Ireland
Centre-Forward,22,England
Centre-Forward,27,England
Centre-Forward,20,Ireland
Centre-Forward,20,Ireland
Centre-Forward,18,Wales
