position,age,nationality
Goalkeeper,35,Ireland
Goalkeeper,26,United States
Goalkeeper,36,England
Centre-Back,31,Ireland
Centre-Back,29,Spain
Centre-Back,27,Wales
Centre-Back,21,Ireland
Centre-Back,22,Australia
Centre-Back,20,England
Left-Back,29,England
Left-Back,20,Ireland
Left-Back,18,Ireland
Right-Back,26,Scotland
Right-Back,31,England
Right-Back,33,Senegal
Right-Back,22,United States
Defensive Midfield,28,Cameroon
Defensive Midfield,22,Australia
Central Midfield,28,England
Central Midfield,31,Bulgaria
Central Midfield,21,England
Central Midfield,21,Scotland
Central Midfield,22,England
Central Midfield,18,Ireland
Central Midfield,18,Jamaica
Central Midfield,19,England
Right Midfield,21,England
Attacking Midfield,24,Ireland
Attacking Midfield,15,England
Right Winger,25,France
Right Winger,19,Austria
Second Striker,17,Ireland
Centre-Forward,27,England
Centre-Forward,24,England
Centre-Forward,30,Ireland
Centre-Forward,20,England
Centre-Forward,33,England
