position,age,nationality
Goalkeeper,35,Australia
Goalkeeper,37,England
Goalkeeper,33,England
Centre-Back,30,Switzerland
Centre-Back,19,Switzerland
Centre-Back,35,Netherlands
Centre-Back,25,Austria
Centre-Back,33,Portugal
Centre-Back,27,Scotland
Left-Back,29,Scotland
Left-Back,20,England
Right-Back,26,Guadeloupe
Right-Back,33,England
Right-Back,20,England
Defensive Midfield,25,England
Defensive Midfield,17,England
Central Midfield,29,Australia
Central Midfield,31,Ireland
Central Midfield,26,Sweden
Central Midfield,26,Jamaica
Central Midfield,26,England
Right Midfield,27,England
Left Midfield,27,Ireland
Right Winger,26,Scotland
Centre-Forward,28,Senegal
Centre-Forward,27,Grenada
Centre-Forward,28,Ireland
Centre-Forward,22,England
