position,age,nationality
Goalkeeper,29,Czech Republic
Goalkeeper,26,England
Goalkeeper,35,Portugal
Goalkeeper,17,England
Centre-Back,30,England
Centre-Back,27,Serbia
Centre-Back,24,Brazil
Centre-Back,29,Brazil
Centre-Back,25,England
Left-Back,30,England
Left-Back,21,England
Right-Back,28,Portugal
Right-Back,32,Portugal
Defensive Midfield,28,Ghana
Defensive Midfield,24,Nigeria
Defensive Midfield,19,Spain
Defensive Midfield,21,England
Defensive Midfield,16,England
Central Midfield,33,England
Central Midfield,24,Brazil
Central Midfield,28,Portugal
Central Midfield,18,England
Attacking Midfield,23,Spain
Left Winger,31,French Guiana
Left Winger,25,Cote d'Ivoire
Right Winger,31,Israel
Right Winger,17,Brazil
Centre-Forward,27,Spain
Centre-Forward,33,Cote d'Ivoire
Centre-Forward,32,France
Centre-Forward,18,Belgium
Centre-Forward,21,England
