position,age,nationality
Goalkeeper,22,England
Goalkeeper,39,Ireland
Goalkeeper,23,Denmark
Goalkeeper,20,Austria
Centre-Back,27,England
Centre-Back,27,Ireland
Centre-Back,26,Germany
Centre-Back,23,Spain
Centre-Back,22,Slovakia
Left-Back,26,Netherlands
Right-Back,30,England
Right-Back,30,Scotland
Defensive Midfield,22,DR Congo
Defensive Midfield,29,United States
Defensive Midfield,31,Ireland
Central Midfield,22,Netherlands
Central Midfield,29,Scotland
Central Midfield,32,England
Left Midfield,29,Netherlands
Attacking Midfield,28,Ireland
Attacking Midfield,17,England
Left Winger,19,Morocco
Right Winger,23,Switzerland
Right Winger,31,Ireland
Right Winger,33,Nigeria
Second Striker,24,Spain
Centre-Forward,27,Senegal
Centre-Forward,25,Spain
Centre-Forward,26,Austria
Centre-Forward,34,England
Centre-Forward,20,England
