position,age,nationality
Goalkeeper,28,Scotland
Goalkeeper,23,Belgium
Goalkeeper,26,Ireland
Goalkeeper,23,Northern Ireland
Centre-Back,30,Ireland
Centre-Back,27,England
Centre-Back,31,England
Centre-Back,29,England
Centre-Back,26,England
Centre-Back,31,Greece
Centre-Back,28,Argentina
Centre-Back,27,England
Centre-Back,18,Ireland
Centre-Back,18,England
Left-Back,30,England
Left-Back,26,England
Left-Back,30,Northern Ireland
Right-Back,26,Scotland
Right-Back,23,Egypt
Defensive Midfield,23,England
Defensive Midfield,28,Wales
Defensive Midfield,21,England
Defensive Midfield,20,Philippines
Central Midfield,26,Sweden
Central Midfield,24,England
Central Midfield,22,Ireland
Attacking Midfield,27,Benin
Left Winger,22,Ireland
Second Striker,21,England
Centre-Forward,25,Ghana
Centre-Forward,23,Denmark
Centre-Forward,18,England
Centre-Forward,23,England
Centre-Forward,20,"Korea, South"
Centre-Forward,20,England
Centre-Forward,19,England
