position,age,nationality
Goalkeeper,34,Australia
Goalkeeper,25,Australia
Goalkeeper,22,England
Centre-Back,27,England
Centre-Back,22,Germany
Centre-Back,24,Austria
Centre-Back,26,England
Centre-Back,22,England
Centre-Back,20,England
Centre-Back,20,England
Centre-Back,19,England
Left-Back,20,England
Left-Back,19,England
Right-Back,27,England
Right-Back,21,England
Defensive Midfield,31,Netherlands
Defensive Midfield,19,England
Defensive Midfield,25,Egypt
Central Midfield,25,Brazil
Central Midfield,24,England
Central Midfield,26,Argentina
Central Midfield,18,England
Right Midfield,33,Spain
Left Midfield,22,England
Left Winger,25,Turkey
Right Winger,19,England
Right Winger,19,England
Centre-Forward,24,Nigeria
Centre-Forward,26,Brazil
Centre-Forward,24,Egypt
Centre-Forward,24,France
Centre-Forward,28,"Korea, South"
Centre-Forward,20,England
Centre-Forward,19,England
