position,age,nationality
Goalkeeper,27,England
Goalkeeper,29,England
Goalkeeper,33,England
Centre-Back,28,England
Centre-Back,22,England
Centre-Back,29,Australia
Centre-Back,21,United States
Centre-Back,24,England
Centre-Back,33,Scotland
Centre-Back,27,Wales
Centre-Back,23,Wales
Centre-Back,18,England
Left-Back,26,Northern Ireland
Right-Back,26,Ghana
Defensive Midfield,23,Martinique
Defensive Midfield,28,England
Central Midfield,26,England
Central Midfield,30,England
Central Midfield,28,Scotland
Central Midfield,20,England
Central Midfield,20,England
Central Midfield,18,Wales
Right Midfield,28,England
Right Midfield,32,Peru
Left Midfield,29,Portugal
Left Midfield,25,England
Left Midfield,19,England
Attacking Midfield,30,Sweden
Left Winger,27,Wales
Left Winger,19,England
Right Winger,18,England
Second Striker,17,England
Centre-Forward,23,England
Centre-Forward,30,Senegal
Centre-Forward,26,England
Centre-Forward,23,England
