position,age,nationality
Goalkeeper,25,Spain
Goalkeeper,31,Spain
Goalkeeper,27,England
Centre-Back,25,England
Centre-Back,29,France
Centre-Back,31,United States
Centre-Back,25,Guinea-Bissau
Left-Back,25,England
Right-Back,26,Ireland
Right-Back,31,Belgium
Defensive Midfield,23,Cameroon
Defensive Midfield,30,Scotland
Defensive Midfield,28,Norway
Defensive Midfield,25,Guinea
Central Midfield,27,Cote d'Ivoire
Central Midfield,28,Scotland
Central Midfield,28,Norway
Right Midfield,21,United States
Left Midfield,19,England
Attacking Midfield,27,DR Congo
Left Winger,28,Germany
Left Winger,32,Netherlands
Left Winger,30,Togo
Right Winger,25,Serbia
Centre-Forward,24,Serbia
Centre-Forward,25,Argentina
