position,age,nationality
Goalkeeper,24,Wales
Goalkeeper,25,Nigeria
Goalkeeper,30,Netherlands
Centre-Back,24,Cameroon
Centre-Back,28,England
Centre-Back,26,Scotland
Centre-Back,23,England
Centre-Back,25,Cameroon
Centre-Back,25,Guadeloupe
Centre-Back,35,England
Left-Back,25,Ireland
Left-Back,19,England
Right-Back,26,Ireland
Right-Back,19,Ireland
Defensive Midfield,28,England
Defensive Midfield,22,Iceland
Defensive Midfield,19,Ghana
Central Midfield,24,England
Central Midfield,28,Serbia
Central Midfield,25,Wales
Central Midfield,25,Algeria
Central Midfield,20,England
Central Midfield,18,England
Left Midfield,29,Ireland
Left Midfield,17,Ireland
Left Winger,25,England
Left Winger,25,England
Left Winger,18,Northern Ireland
Right Winger,23,England
Centre-Forward,27,Ireland
Centre-Forward,24,Scotland
Centre-Forward,25,England
Centre-Forward,28,Austria
Centre-Forward,25,Ireland
Centre-Forward,21,Wales
Centre-Forward,20,Scotland
Centre-Forward,18,England
