position,age,nationality
Goalkeeper,28,Denmark
Goalkeeper,27,England
Goalkeeper,42,Australia
Goalkeeper,20,England
Centre-Back,30,Germany
Centre-Back,22,England
Centre-Back,31,Jamaica
Centre-Back,28,Tunisia
Centre-Back,35,Poland
Left-Back,29,Austria
Left-Back,34,England
Left-Back,18,England
Right-Back,26,Belgium
Right-Back,28,England
Defensive Midfield,31,Switzerland
Defensive Midfield,20,Ghana
Central Midfield,24,France
Central Midfield,25,England
Central Midfield,26,Wales
Central Midfield,23,England
Central Midfield,32,England
Right Midfield,25,England
Left Midfield,22,Ghana
Left Winger,19,England
Left Winger,21,Wales
Left Winger,20,England
Left Winger,17,England
Right Winger,27,England
Right Winger,24,Algeria
Second Striker,20,St. Kitts & Nevis
Centre-Forward,28,Argentina
Centre-Forward,24,Croatia
Centre-Forward,29,Japan
Centre-Forward,28,England
Centre-Forward,22,England
