position,age,nationality
Goalkeeper,30,England
Goalkeeper,29,Oman
Goalkeeper,39,England
Goalkeeper,18,England
Centre-Back,28,Paraguay
Centre-Back,29,Scotland
Centre-Back,30,Cote d'Ivoire
Centre-Back,24,Spain
Left-Back,28,Honduras
Left-Back,27,Chile
Left-Back,20,Netherlands
Left-Back,20,England
Right-Back,27,Netherlands
Right-Back,31,Barbados
Defensive Midfield,26,Honduras
Central Midfield,24,Senegal
Central Midfield,20,Ireland
Central Midfield,25,England
Central Midfield,26,England
Central Midfield,26,Spain
Central Midfield,23,Scotland
Attacking Midfield,28,Scotland
Attacking Midfield,20,England
Left Winger,29,Spain
Right Winger,20,Nigeria
Right Winger,20,England
Centre-Forward,25,Colombia
Centre-Forward,22,Argentina
Centre-Forward,24,Ireland
Centre-Forward,19,Mali
