position,age,nationality
Goalkeeper,36,Poland
Goalkeeper,31,Australia
Goalkeeper,24,England
Goalkeeper,19,Australia
Goalkeeper,18,England
Centre-Back,23,England
Centre-Back,21,Netherlands
Centre-Back,25,England
Centre-Back,28,Ireland
Centre-Back,20,England
Centre-Back,19,England
Centre-Back,17,England
Left-Back,29,England
Left-Back,28,Wales
Left-Back,22,Australia
Left-Back,20,England
Right-Back,31,England
Right-Back,25,England
Right-Back,19,England
Central Midfield,24,England
Central Midfield,19,England
Central Midfield,26,England
Central Midfield,25,Ireland
Central Midfield,29,England
Central Midfield,26,Ireland
Central Midfield,20,United States
Central Midfield,18,England
Right Midfield,16,England
Left Midfield,18,England
Left Winger,28,Cote d'Ivoire
Left Winger,26,England
Left Winger,29,England
Left Winger,22,Scotland
Right Winger,20,England
Right Winger,21,England
Second Striker,24,Norway
Centre-Forward,23,DR Congo
Centre-Forward,24,England
Centre-Forward,28,Jamaica
Centre-Forward,20,France
Centre-Forward,17,England
