position,age,nationality
Goalkeeper,31,Portugal
Goalkeeper,32,England
Goalkeeper,25,England
Goalkeeper,22,England
Centre-Back,28,France
Centre-Back,26,England
Centre-Back,29,England
Centre-Back,23,England
Centre-Back,26,England
Left-Back,25,Spain
Left-Back,20,Portugal
Right-Back,27,Ireland
Defensive Midfield,22,Portugal
Defensive Midfield,24,Belgium
Defensive Midfield,29,Morocco
Central Midfield,32,Portugal
Central Midfield,19,England
Left Winger,22,Portugal
Left Winger,24,England
Right Winger,23,Spain
Right Winger,25,Portugal
Right Winger,25,Portugal
Centre-Forward,28,Mexico
Centre-Forward,25,Brazil
Centre-Forward,21,Nigeria
