position,age,nationality
Goalkeeper,23,England
Goalkeeper,24,England
Goalkeeper,21,Hungary
Goalkeeper,34,United States
Goalkeeper,30,Czech Republic
Centre-Back,24,Ireland
Centre-Back,21,England
Centre-Back,34,Morocco
Centre-Back,31,Serbia
Centre-Back,30,England
Centre-Back,18,Switzerland
Centre-Back,25,France
Centre-Back,20,England
Centre-Back,23,South Africa
Centre-Back,23,England
Centre-Back,22,England
Left-Back,25,Sweden
Left-Back,22,Cameroon
Left-Back,20,Czech Republic
Right-Back,17,England
Right-Back,20,Ireland
Defensive Midfield,19,Australia
Defensive Midfield,24,England
Defensive Midfield,25,Portugal
Defensive Midfield,22,England
Central Midfield,27,England
Central Midfield,31,England
Central Midfield,20,England
Central Midfield,21,England
Right Midfield,24,Wales
Left Midfield,21,Ireland
Attacking Midfield,21,England
Left Winger,19,Ireland
Centre-Forward,26,Mali
Centre-Forward,23,Ireland
Centre-Forward,21,Egypt
Centre-Forward,21,England
