position,age,nationality
Goalkeeper,27,England
Goalkeeper,20,England
Goalkeeper,33,Czech Republic
Goalkeeper,20,England
Centre-Back,26,England
Centre-Back,27,England
Centre-Back,23,England
Centre-Back,21,France
Centre-Back,28,Portugal
Centre-Back,25,England
Centre-Back,18,France
Centre-Back,19,England
Centre-Back,18,England
Left-Back,30,"Korea, South"
Left-Back,23,Cameroon
Left-Back,16,England
Right-Back,28,Guadeloupe
Right-Back,29,Canada
Right-Back,22,Scotland
Right-Back,17,Wales
Defensive Midfield,26,Cote d'Ivoire
Defensive Midfield,20,England
Defensive Midfield,27,Finland
Central Midfield,24,England
Central Midfield,27,France
Central Midfield,31,Brazil
Central Midfield,25,Egypt
Central Midfield,20,England
Attacking Midfield,18,Morocco
Left Winger,22,England
Right Winger,20,England
Right Winger,17,Wales
Centre-Forward,26,Bulgaria
Centre-Forward,26,Ireland
Centre-Forward,24,England
Centre-Forward,23,England
Centre-Forward,20,Ghana
