position,age,nationality
Goalkeeper,23,England
Goalkeeper,24,Denmark
Goalkeeper,40,Ireland
Goalkeeper,33,England
Goalkeeper,21,Austria
Centre-Back,24,Netherlands
Centre-Back,28,England
Centre-Back,27,Germany
Centre-Back,24,Spain
Centre-Back,19,Ireland
Left-Back,27,Netherlands
Left-Back,20,England
Right-Back,31,England
Right-Back,31,Scotland
Right-Back,17,England
Defensive Midfield,23,DR Congo
Defensive Midfield,32,Ireland
Defensive Midfield,30,United States
Central Midfield,26,Wales
Central Midfield,30,Scotland
Left Midfield,30,Netherlands
Attacking Midfield,29,Ireland
Left Winger,19,Egypt
Right Winger,24,Switzerland
Right Winger,32,Ireland
Right Winger,16,Belgium
Second Striker,25,Spain
Centre-Forward,27,Cote d'Ivoire
Centre-Forward,22,Burundi
Centre-Forward,27,Austria
Centre-Forward,28,Senegal
Centre-Forward,26,Spain
Centre-Forward,35,England
Centre-Forward,18,Belgium
