position,age,nationality
Goalkeeper,25,United States
Goalkeeper,26,Northern Ireland
Goalkeeper,19,England
Goalkeeper,32,Spain
Centre-Back,26,Argentina
Centre-Back,25,England
Centre-Back,24,England
Centre-Back,23,Ireland
Centre-Back,26,France
Centre-Back,17,Spain
Centre-Back,18,United States
Left-Back,19,England
Right-Back,29,England
Right-Back,27,England
Right-Back,19,Scotland
Defensive Midfield,32,Ireland
Defensive Midfield,23,Cameroon
Defensive Midfield,17,Belgium
Central Midfield,23,England
Central Midfield,25,Brazil
Central Midfield,23,Ireland
Central Midfield,29,England
Central Midfield,20,Scotland
Central Midfield,27,South Africa
Central Midfield,19,England
Left Midfield,30,Wales
Left Winger,19,Portugal
Right Winger,18,England
Second Striker,31,Norway
Second Striker,25,Uruguay
Centre-Forward,18,England
Centre-Forward,25,France
Centre-Forward,28,Netherlands
Centre-Forward,21,France
Centre-Forward,18,England
Centre-Forward,17,Italy
