position,age,nationality
Goalkeeper,20,Italy
Goalkeeper,35,Trinidad and Tobago
Goalkeeper,23,England
Goalkeeper,30,Greece
Centre-Back,30,England
Centre-Back,29,Serbia
Centre-Back,27,Australia
Centre-Back,34,Netherlands
Left-Back,30,England
Right-Back,19,England
Right-Back,20,England
Right-Back,25,England
Right-Back,25,England
Defensive Midfield,20,England
Defensive Midfield,27,Senegal
Defensive Midfield,28,Senegal
Defensive Midfield,26,Greece
Defensive Midfield,25,Scotland
Central Midfield,19,Wales
Central Midfield,25,Scotland
Central Midfield,21,England
Right Midfield,28,Scotland
Right Midfield,32,England
Left Midfield,22,England
Attacking Midfield,32,Israel
Attacking Midfield,30,Czech Republic
Attacking Midfield,20,Cameroon
Left Winger,18,England
Right Winger,23,Senegal
Second Striker,23,DR Congo
Centre-Forward,25,Bulgaria
Centre-Forward,21,France
Centre-Forward,24,Jamaica
Centre-Forward,21,Nigeria
Centre-Forward,24,Slovenia
Centre-Forward,18,England
