position,age,nationality
Goalkeeper,33,United States
Goalkeeper,29,Slovakia
Goalkeeper,17,England
Centre-Back,29,England
Centre-Back,28,Netherlands
Centre-Back,34,France
Centre-Back,18,England
Centre-Back,20,Ireland
Centre-Back,18,England
Left-Back,27,England
Left-Back,22,Costa Rica
Left-Back,19,England
Right-Back,23,Ireland
Right-Back,31,England
Right-Back,35,England
Central Midfield,24,Belgium
Central Midfield,18,England
Central Midfield,31,England
Central Midfield,24,Ireland
Central Midfield,30,Germany
Central Midfield,20,Guinea-Bissau
Left Winger,30,South Africa
Right Winger,24,Belgium
Right Winger,17,Scotland
Second Striker,25,Scotland
Centre-Forward,26,Croatia
Centre-Forward,24,Nigeria
Centre-Forward,21,Senegal
Centre-Forward,20,Greece
