position,age,nationality
Goalkeeper,21.0,Argentina
Goalkeeper,33.0,Poland
Goalkeeper,36.0,England
Goalkeeper,20.0,United States
Centre-Back,23.0,Croatia
Centre-Back,24.0,Japan
Centre-Back,29.0,Portugal
Centre-Back,30.0,Netherlands
Centre-Back,19.0,England
Centre-Back,18.0,England
Centre-Back,17.0,England
Left-Back,17.0,England
Left-Back,27.0,Scotland
Left-Back,18.0,England
Left-Back,17.0,England
Right-Back,22.0,England
Defensive Midfield,22.0,Kenya
Defensive Midfield,23.0,France
Defensive Midfield,24.0,England
Central Midfield,28.0,Northern Ireland
Central Midfield,18.0,England
Central Midfield,18.0,England
Attacking Midfield,22.0,Uruguay
Attacking Midfield,25.0,England
Attacking Midfield,31.0,Brazil
Left Winger,20.0,Wales
Left Winger,18.0,England
Second Striker,18.0,England
Centre-Forward,27.0,Italy
Centre-Forward,23.0,England
Centre-Forward,31.0,England
Centre-Forward,27.0,England
Centre-Forward,22.0,Zambia
Centre-Forward,27.0,Japan
Centre-Forward,17.0,England
