position,age,nationality
Goalkeeper,27,England
Goalkeeper,32,England
Goalkeeper,33,England
Goalkeeper,35,Denmark
Goalkeeper,32,England
Centre-Back,26,England
Centre-Back,26,England
Centre-Back,29,England
Centre-Back,28,Ireland
Left-Back,25,England
Left-Back,33,Ireland
Right-Back,30,England
Right-Back,33,Scotland
Defensive Midfield,29,England
Defensive Midfield,29,England
Central Midfield,27,Ireland
Central Midfield,31,Belgium
Left Midfield,27,Ireland
Left Winger,19,England
Right Winger,28,Iceland
Right Winger,32,England
Centre-Forward,27,New Zealand
Centre-Forward,27,Czech Republic
Centre-Forward,29,England
Centre-Forward,29,Bermuda
Centre-Forward,38,England
