position,age,nationality
Goalkeeper,31,Poland
Goalkeeper,27,Sweden
Goalkeeper,37,Germany
Goalkeeper,25,Australia
Centre-Back,27,Argentina
Centre-Back,24,Spain
Centre-Back,23,Netherlands
Centre-Back,25,England
Centre-Back,22,England
Left-Back,27,Wales
Left-Back,27,France
Left-Back,28,Sweden
Left-Back,21,Scotland
Right-Back,27,England
Right-Back,33,Spain
Right-Back,20,Wales
Defensive Midfield,27,"Korea, South"
Defensive Midfield,27,England
Central Midfield,26,Netherlands
Central Midfield,24,England
Central Midfield,20,England
Central Midfield,33,England
Central Midfield,22,Scotland
Attacking Midfield,26,Iceland
Left Winger,26,Ecuador
Left Winger,31,England
Left Winger,18,Wales
Right Winger,25,Netherlands
Right Winger,28,England
Right Winger,23,The Gambia
Right Winger,21,Curacao
Centre-Forward,30,France
Centre-Forward,31,Spain
Centre-Forward,24,Ghana
Centre-Forward,23,Spain
Centre-Forward,28,Netherlands
Centre-Forward,20,Scotland
