position,age,nationality
Goalkeeper,36,Netherlands
Goalkeeper,25,Poland
Goalkeeper,24,England
Goalkeeper,21,England
Centre-Back,28,England
Centre-Back,25,Serbia
Centre-Back,26,Ireland
Centre-Back,27,England
Centre-Back,29,France
Centre-Back,20,Spain
Centre-Back,19,Northern Ireland
Left-Back,26,France
Right-Back,32,England
Right-Back,22,Scotland
Right-Back,20,England
Right-Back,18,England
Defensive Midfield,26,England
Defensive Midfield,25,England
Defensive Midfield,19,England
Central Midfield,19,Brazil
Central Midfield,32,England
Central Midfield,23,Scotland
Central Midfield,19,Ireland
Central Midfield,18,England
Left Midfield,33,Wales
Attacking Midfield,26,"Korea, South"
Attacking Midfield,20,England
Left Winger,22,Portugal
Left Winger,20,Portugal
Right Winger,21,England
Right Winger,18,St. Kitts & Nevis
Second Striker,23,Argentina
Second Striker,34,Norway
Centre-Forward,21,England
Centre-Forward,28,France
Centre-Forward,22,China
Centre-Forward,19,England
Centre-Forward,16,England
