position,age,nationality
Goalkeeper,31,Denmark
Goalkeeper,21,England
Goalkeeper,26,England
Centre-Back,29,Sweden
Centre-Back,22,England
Centre-Back,27,England
Centre-Back,29,Denmark
Centre-Back,21,England
Left-Back,21,England
Left-Back,29,Netherlands
Left-Back,19,Ireland
Defensive Midfield,26,England
Defensive Midfield,23,England
Defensive Midfield,19,England
Central Midfield,27,Bulgaria
Central Midfield,20,England
Attacking Midfield,24,Scotland
Attacking Midfield,33,Czech Republic
Attacking Midfield,24,Togo
Left Winger,22,England
Centre-Forward,27,Norway
Centre-Forward,27,England
Centre-Forward,20,England
Centre-Forward,21,England
Centre-Forward,16,England
