position,age,nationality
Goalkeeper,31,England
Goalkeeper,22,Poland
Goalkeeper,34,Australia
Centre-Back,31,Iceland
Centre-Back,29,England
Centre-Back,25,England
Centre-Back,25,Denmark
Centre-Back,30,Jamaica
Centre-Back,27,England
Centre-Back,24,Denmark
Centre-Back,25,England
Centre-Back,26,Mali
Left-Back,19,England
Right-Back,28,Romania
Right-Back,26,Switzerland
Defensive Midfield,24,Japan
Central Midfield,19,England
Central Midfield,24,Ireland
Central Midfield,25,England
Central Midfield,25,Hungary
Central Midfield,26,England
Left Midfield,21,England
Left Midfield,30,North Macedonia
Attacking Midfield,24,Wales
Attacking Midfield,30,Wales
Centre-Forward,30,England
Centre-Forward,25,Scotland
Centre-Forward,24,England
Centre-Forward,34,England
Centre-Forward,27,Nigeria
Centre-Forward,23,Wales
