position,age,nationality
Goalkeeper,32,Poland
Goalkeeper,35,England
Goalkeeper,25,England
Goalkeeper,20,Argentina
Centre-Back,28,Portugal
Centre-Back,29,Netherlands
Centre-Back,24,Norway
Centre-Back,23,Japan
Centre-Back,25,England
Centre-Back,18,England
Centre-Back,17,England
Left-Back,26,Scotland
Left-Back,16,England
Right-Back,21,England
Right-Back,29,England
Right-Back,32,England
Defensive Midfield,22,France
Defensive Midfield,23,England
Defensive Midfield,19,England
Defensive Midfield,17,England
Central Midfield,27,Northern Ireland
Central Midfield,29,England
Central Midfield,27,England
Central Midfield,17,England
Central Midfield,18,England
Attacking Midfield,21,Uruguay
Attacking Midfield,24,England
Attacking Midfield,30,Brazil
Attacking Midfield,26,England
Attacking Midfield,20,Northern Ireland
Left Winger,25,Belgium
Left Winger,19,Wales
Second Striker,19,England
Second Striker,17,England
Centre-Forward,21,Zambia
Centre-Forward,22,England
Centre-Forward,26,England
Centre-Forward,30,England
Centre-Forward,26,Japan
Centre-Forward,27,England
