position,age,nationality
Goalkeeper,31.0,Scotland
Goalkeeper,28.0,Switzerland
Goalkeeper,38.0,England
Goalkeeper,23.0,England
Centre-Back,28.0,England
Centre-Back,27.0,Ireland
Centre-Back,24.0,Wales
Centre-Back,28.0,Northern Ireland
Centre-Back,35.0,Senegal
Left-Back,30.0,Honduras
Left-Back,22.0,Northern Ireland
Left-Back,20.0,England
Right-Back,25.0,Egypt
Right-Back,28.0,England
Midfielder,27.0,Scotland
Defensive Midfield,26.0,England
Defensive Midfield,23.0,England
Central Midfield,24.0,Ireland
Central Midfield,27.0,Ireland
Central Midfield,21.0,Ireland
Left Midfield,21.0,Ireland
Attacking Midfield,32.0,Slovenia
Left Winger,22.0,England
Right Winger,20.0,Antigua and Barbuda
Second Striker,24.0,Nigeria
Centre-Forward,27.0,Croatia
Centre-Forward,26.0,Ireland
Centre-Forward,27.0,England
Centre-Forward,27.0,England
Centre-Forward,25.0,Cote d'Ivoire
Centre-Forward,26.0,Germany
Centre-Forward,28.0,Egypt
Centre-Forward,30.0,England
Centre-Forward,21.0,Australia
