position,age,nationality
Goalkeeper,36,England
Goalkeeper,26,England
Goalkeeper,20,Bosnia-Herzegovina
Centre-Back,32,England
Centre-Back,29,France
Centre-Back,27,Mali
Centre-Back,32,Iceland
Centre-Back,28,France
Centre-Back,23,Congo
Centre-Back,33,England
Centre-Back,21,Wales
Centre-Back,20,England
Centre-Back,19,Ireland
Right-Back,30,Cameroon
Right-Back,22,England
Defensive Midfield,29,Senegal
Defensive Midfield,22,France
Defensive Midfield,27,England
Defensive Midfield,28,Portugal
Defensive Midfield,28,Scotland
Defensive Midfield,22,DR Congo
Defensive Midfield,19,France
Central Midfield,22,Ghana
Central Midfield,24,England
Left Midfield,25,England
Attacking Midfield,22,Croatia
Left Winger,25,Nigeria
Right Winger,20,Cameroon
Second Striker,18,Denmark
Centre-Forward,24,England
Centre-Forward,25,Czech Republic
Centre-Forward,30,Nigeria
Centre-Forward,28,Zimbabwe
Centre-Forward,22,England
