position,age,nationality
Goalkeeper,29,France
Goalkeeper,32,Netherlands
Goalkeeper,21,Spain
Goalkeeper,20,England
Goalkeeper,17,England
Centre-Back,27,Belgium
Centre-Back,29,Belgium
Centre-Back,29,Argentina
Centre-Back,23,Austria
Centre-Back,18,United States
Left-Back,25,England
Left-Back,23,Wales
Right-Back,26,England
Right-Back,25,England
Right-Back,19,England
Defensive Midfield,22,England
Defensive Midfield,25,Kenya
Defensive Midfield,20,Slovakia
Defensive Midfield,19,England
Defensive Midfield,19,England
Central Midfield,28,Belgium
Central Midfield,26,France
Central Midfield,21,Algeria
Central Midfield,25,England
Central Midfield,24,England
Central Midfield,20,England
Attacking Midfield,24,Denmark
Attacking Midfield,20,England
Attacking Midfield,19,England
Left Winger,23,"Korea, South"
Left Winger,21,France
Left Winger,17,England
Right Winger,24,Argentina
Right Winger,17,England
Centre-Forward,22,England
Centre-Forward,22,Cameroon
Centre-Forward,22,Netherlands
Centre-Forward,18,England
