position,age,nationality
Goalkeeper,31,Bosnia-Herzegovina
Goalkeeper,39,Poland
Goalkeeper,21,England
Goalkeeper,20,Ireland
Centre-Back,24,Netherlands
Centre-Back,21,Wales
Centre-Back,28,England
Centre-Back,26,England
Centre-Back,22,England
Left-Back,26,Spain
Left-Back,32,England
Right-Back,28,England
Right-Back,34,England
Defensive Midfield,24,Colombia
Central Midfield,22,England
Central Midfield,29,Ireland
Central Midfield,29,England
Central Midfield,32,England
Central Midfield,23,United States
Attacking Midfield,21,Wales
Left Winger,25,Scotland
Left Winger,29,England
Left Winger,32,England
Right Winger,23,England
Right Winger,22,England
Second Striker,27,Norway
Centre-Forward,27,England
Centre-Forward,21,England
Centre-Forward,23,France
