position,age,nationality
Goalkeeper,33.0,Spain
Goalkeeper,25.0,Poland
Goalkeeper,40.0,Germany
Goalkeeper,22.0,Italy
Goalkeeper,20.0,Poland
Goalkeeper,19.0,England
Centre-Back,24.0,Belgium
Centre-Back,29.0,France
Centre-Back,24.0,France
Centre-Back,23.0,Switzerland
Centre-Back,17.0,Spain
Left-Back,24.0,France
Left-Back,20.0,England
Right-Back,27.0,France
Right-Back,27.0,Cote d'Ivoire
Defensive Midfield,22.0,Cameroon
Defensive Midfield,22.0,Brazil
Defensive Midfield,20.0,Norway
Defensive Midfield,19.0,England
Central Midfield,23.0,Spain
Central Midfield,24.0,France
Central Midfield,19.0,Wales
Central Midfield,18.0,England
Central Midfield,19.0,England
Central Midfield,18.0,Ireland
Attacking Midfield,23.0,France
Attacking Midfield,29.0,Czech Republic
Right Winger,21.0,England
Right Winger,21.0,Mexico
Second Striker,29.0,Russia
Centre-Forward,26.0,Netherlands
Centre-Forward,26.0,Morocco
Centre-Forward,22.0,Denmark
Centre-Forward,19.0,England
