position,age,nationality
Goalkeeper,28,Netherlands
Goalkeeper,33,Germany
Goalkeeper,21,Wales
Centre-Back,27,Wales
Centre-Back,25,Spain
Centre-Back,21,England
Centre-Back,29,England
Centre-Back,33,England
Centre-Back,20,France
Left-Back,23,Wales
Left-Back,19,Wales
Right-Back,29,Spain
Right-Back,26,Netherlands
Right-Back,21,Wales
Right-Back,20,Wales
Defensive Midfield,23,"Korea, South"
Defensive Midfield,25,Curacao
Central Midfield,24,Netherlands
Central Midfield,29,England
Central Midfield,33,England
Central Midfield,20,Wales
Left Midfield,23,England
Left Winger,27,England
Left Winger,24,Belgium
Right Winger,27,Spain
Right Winger,24,England
Second Striker,26,Spain
Centre-Forward,26,England
Centre-Forward,25,Israel
Centre-Forward,27,England
Centre-Forward,29,Scotland
Centre-Forward,26,England
Centre-Forward,20,Northern Ireland
