position,age,nationality
Goalkeeper,22,Belgium
Goalkeeper,32,Czech Republic
Goalkeeper,41,Australia
Goalkeeper,20,England
Goalkeeper,18,England
Centre-Back,30,Serbia
Centre-Back,28,England
Centre-Back,19,France
Centre-Back,33,England
Centre-Back,21,Czech Republic
Centre-Back,19,Netherlands
Centre-Back,20,Nigeria
Centre-Back,18,Denmark
Left-Back,28,Brazil
Right-Back,24,Spain
Defensive Midfield,25,Serbia
Defensive Midfield,27,Nigeria
Defensive Midfield,19,England
Central Midfield,27,Spain
Central Midfield,27,Brazil
Central Midfield,19,England
Central Midfield,18,England
Attacking Midfield,22,Brazil
Left Winger,23,Belgium
Left Winger,23,Germany
Left Winger,22,Ghana
Left Winger,17,Cote d'Ivoire
Right Winger,25,Brazil
Right Winger,26,Colombia
Right Winger,22,Egypt
Right Winger,23,Nigeria
Second Striker,17,England
Centre-Forward,25,Spain
Centre-Forward,30,Spain
Centre-Forward,27,France
Centre-Forward,36,Cote d'Ivoire
Centre-Forward,20,England
Centre-Forward,16,England
