position,age,nationality
Goalkeeper,29,Denmark
Goalkeeper,24,England
Goalkeeper,18,Austria
Centre-Back,27,Sweden
Centre-Back,27,Denmark
Centre-Back,25,Northern Ireland
Centre-Back,20,England
Centre-Back,19,England
Left-Back,27,Netherlands
Right-Back,31,Ecuador
Right-Back,29,Wales
Defensive Midfield,24,Cameroon
Defensive Midfield,24,England
Defensive Midfield,24,Trinidad and Tobago
Central Midfield,19,England
Central Midfield,27,England
Central Midfield,27,Norway
Central Midfield,20,England
Central Midfield,20,Northern Ireland
Central Midfield,18,England
Right Midfield,30,Peru
Left Midfield,28,England
Attacking Midfield,31,Czech Republic
Left Winger,19,Northern Ireland
Centre-Forward,23,Czech Republic
Centre-Forward,29,Colombia
Centre-Forward,31,England
Centre-Forward,19,England
Centre-Forward,18,England
Centre-Forward,18,England
