position,age,nationality
Goalkeeper,26.0,England
Goalkeeper,26.0,Romania
Goalkeeper,35.0,England
Centre-Back,27.0,Belgium
Centre-Back,20.0,Serbia
Centre-Back,30.0,England
Centre-Back,32.0,Argentina
Centre-Back,18.0,Netherlands
Centre-Back,22.0,Belgium
Left-Back,27.0,France
Left-Back,27.0,Serbia
Right-Back,27.0,Spain
Right-Back,25.0,England
Right-Back,28.0,Argentina
Defensive Midfield,28.0,Brazil
Defensive Midfield,26.0,Spain
Defensive Midfield,22.0,England
Defensive Midfield,19.0,Wales
Central Midfield,30.0,Cote d'Ivoire
Central Midfield,27.0,England
Attacking Midfield,27.0,Spain
Attacking Midfield,26.0,France
Right Winger,17.0,Portugal
Centre-Forward,25.0,Argentina
Centre-Forward,23.0,Montenegro
Centre-Forward,27.0,Bosnia-Herzegovina
Centre-Forward,27.0,Spain
Centre-Forward,21.0,Sweden
