position,age,nationality
Goalkeeper,32,Finland
Goalkeeper,35,England
Goalkeeper,25,Oman
Goalkeeper,19,Hungary
Centre-Back,26,Cote d'Ivoire
Centre-Back,29,Senegal
Centre-Back,28,Ireland
Centre-Back,21,England
Centre-Back,24,France
Centre-Back,23,Slovakia
Centre-Back,19,Poland
Left-Back,28,Jamaica
Right-Back,23,England
Right-Back,25,Iceland
Right-Back,21,Ireland
Right-Back,19,England
Midfielder,19,England
Defensive Midfield,33,Spain
Defensive Midfield,26,Trinidad and Tobago
Defensive Midfield,24,Iran
Central Midfield,29,England
Central Midfield,27,Spain
Central Midfield,21,Switzerland
Central Midfield,20,England
Central Midfield,23,Israel
Central Midfield,18,England
Right Midfield,18,Ireland
Left Midfield,25,England
Left Midfield,37,Wales
Attacking Midfield,25,England
Forward,18,England
Right Winger,27,Sweden
Right Winger,32,Greece
Right Winger,20,Portugal
Right Winger,25,Norway
Centre-Forward,28,France
Centre-Forward,26,Senegal
Centre-Forward,28,Poland
Centre-Forward,30,England
Centre-Forward,29,Iceland
Centre-Forward,20,Hungary
