position,age,nationality
Goalkeeper,25,England
Goalkeeper,28,Wales
Goalkeeper,36,Argentina
Centre-Back,28,England
Centre-Back,28,Jamaica
Centre-Back,34,Norway
Centre-Back,33,Ireland
Centre-Back,32,Ireland
Centre-Back,20,England
Left-Back,25,Senegal
Left-Back,22,England
Left-Back,20,England
Right-Back,25,England
Right-Back,25,England
Midfielder,16,England
Defensive Midfield,30,Australia
Defensive Midfield,20,England
Defensive Midfield,19,England
Central Midfield,29,France
Central Midfield,27,Scotland
Central Midfield,23,England
Central Midfield,28,Wales
Central Midfield,19,England
Attacking Midfield,29,England
Attacking Midfield,26,"Korea, South"
Attacking Midfield,21,Wales
Left Winger,26,DR Congo
Left Winger,27,Mali
Left Winger,19,England
Right Winger,22,Cote d'Ivoire
Centre-Forward,31,Togo
Centre-Forward,22,England
Centre-Forward,24,England
Centre-Forward,27,England
Centre-Forward,31,England
Centre-Forward,21,England
Centre-Forward,31,Morocco
Centre-Forward,24,Ghana
