position,age,nationality
Goalkeeper,32,Scotland
Goalkeeper,29,Switzerland
Goalkeeper,39,England
Goalkeeper,24,England
Goalkeeper,18,England
Centre-Back,30,England
Centre-Back,29,England
Centre-Back,25,Wales
Centre-Back,28,Ireland
Centre-Back,29,Northern Ireland
Centre-Back,21,England
Left-Back,31,Honduras
Left-Back,20,Scotland
Left-Back,23,Northern Ireland
Left-Back,21,England
Right-Back,26,Egypt
Right-Back,29,England
Midfielder,28,Scotland
Defensive Midfield,27,England
Defensive Midfield,24,England
Central Midfield,27,Senegal
Central Midfield,25,Ireland
Central Midfield,28,Ireland
Left Midfield,22,Ireland
Attacking Midfield,27,France
Attacking Midfield,23,Uruguay
Right Winger,22,England
Right Winger,26,Scotland
Right Winger,21,Antigua and Barbuda
Second Striker,25,Nigeria
Centre-Forward,29,Senegal
Centre-Forward,27,Ireland
Centre-Forward,28,Croatia
Centre-Forward,23,Uruguay
Centre-Forward,26,Cote d'Ivoire
