position,age,nationality
Goalkeeper,24,Bosnia-Herzegovina
Goalkeeper,35,Denmark
Goalkeeper,37,England
Centre-Back,23,England
Centre-Back,32,England
Centre-Back,26,Germany
Centre-Back,30,Wales
Centre-Back,31,England
Centre-Back,23,Ireland
Centre-Back,32,Gibraltar
Centre-Back,26,England
Left-Back,28,England
Right-Back,26,England
Right-Back,22,England
Midfielder,17,England
Defensive Midfield,26,Honduras
Defensive Midfield,27,Ireland
Defensive Midfield,23,Uruguay
Defensive Midfield,34,Senegal
Central Midfield,29,England
Central Midfield,34,Ireland
Central Midfield,24,England
Central Midfield,28,England
Central Midfield,17,England
Left Midfield,29,England
Right Winger,28,England
Right Winger,27,Ireland
Centre-Forward,30,England
Centre-Forward,26,Trinidad and Tobago
Centre-Forward,24,England
Centre-Forward,31,Jamaica
Centre-Forward,31,Mali
