position,age,nationality
Goalkeeper,30.0,England
Goalkeeper,22.0,Belgium
Goalkeeper,20.0,Czech Republic
Goalkeeper,16.0,England
Centre-Back,31.0,England
Centre-Back,30.0,Czech Republic
Centre-Back,28.0,Israel
Centre-Back,21.0,England
Centre-Back,24.0,United States
Centre-Back,24.0,Morocco
Centre-Back,30.0,Wales
Centre-Back,21.0,New Zealand
Left-Back,29.0,England
Left-Back,28.0,DR Congo
Left-Back,18.0,England
Right-Back,30.0,Denmark
Right-Back,20.0,England
Defensive Midfield,25.0,Switzerland
Defensive Midfield,26.0,Martinique
Central Midfield,29.0,England
Central Midfield,23.0,England
Central Midfield,28.0,Germany
Central Midfield,21.0,Wales
Central Midfield,27.0,England
Right Midfield,31.0,England
Left Midfield,32.0,Portugal
Left Winger,20.0,England
Left Winger,19.0,England
Right Winger,23.0,Mexico
Right Winger,21.0,England
Second Striker,27.0,Italy
Second Striker,23.0,Nigeria
Second Striker,20.0,England
Centre-Forward,29.0,Ireland
Centre-Forward,26.0,England
Centre-Forward,25.0,Senegal
Centre-Forward,32.0,South Africa
Centre-Forward,31.0,Martinique
Centre-Forward,18.0,England
Centre-Forward,16.0,Australia
