position,age,nationality
Goalkeeper,29,Philippines
Goalkeeper,29,England
Goalkeeper,36,Ireland
Centre-Back,28,England
Centre-Back,30,Gabon
Centre-Back,34,Cote d'Ivoire
Centre-Back,31,England
Left-Back,28,Ireland
Left-Back,29,England
Right-Back,32,England
Right-Back,28,Wales
Central Midfield,25,Spain
Central Midfield,25,England
Central Midfield,24,Scotland
Central Midfield,27,Curacao
Central Midfield,28,England
Central Midfield,28,France
Right Midfield,26,England
Attacking Midfield,26,Jamaica
Left Winger,24,England
Left Winger,29,Canada
Right Winger,27,England
Second Striker,30,England
Centre-Forward,25,Denmark
Centre-Forward,29,Senegal
Centre-Forward,28,England
Centre-Forward,28,England
Centre-Forward,26,England
Centre-Forward,24,England
Centre-Forward,22,Scotland
