position,age,nationality
Goalkeeper,26,Czech Republic
Goalkeeper,34,Italy
Goalkeeper,32,Portugal
Goalkeeper,18,Wales
Centre-Back,27,England
Centre-Back,30,Portugal
Centre-Back,24,Serbia
Centre-Back,26,Brazil
Centre-Back,20,England
Left-Back,27,England
Left-Back,27,England
Right-Back,25,Portugal
Right-Back,29,Portugal
Right-Back,32,Brazil
Defensive Midfield,25,Ghana
Defensive Midfield,21,Nigeria
Defensive Midfield,32,Brazil
Central Midfield,30,England
Central Midfield,31,Germany
Central Midfield,18,England
Central Midfield,18,England
Left Midfield,19,England
Attacking Midfield,30,Portugal
Attacking Midfield,26,England
Left Winger,28,French Guiana
Left Winger,22,Cote d'Ivoire
Left Winger,17,DR Congo
Left Winger,18,Slovakia
Right Winger,24,Portugal
Right Winger,26,England
Centre-Forward,30,Cote d'Ivoire
Centre-Forward,29,France
Centre-Forward,19,Argentina
