position,age,nationality
Goalkeeper,30,Poland
Goalkeeper,26,Sweden
Goalkeeper,36,Germany
Goalkeeper,19,England
Centre-Back,26,Argentina
Centre-Back,30,Wales
Centre-Back,23,Spain
Centre-Back,24,England
Centre-Back,17,Wales
Left-Back,26,France
Left-Back,26,Wales
Left-Back,20,Scotland
Right-Back,26,England
Right-Back,32,Spain
Right-Back,23,Wales
Right-Back,19,Wales
Right-Back,20,Wales
Defensive Midfield,26,"Korea, South"
Defensive Midfield,26,England
Central Midfield,23,England
Central Midfield,25,Netherlands
Central Midfield,19,England
Central Midfield,32,England
Central Midfield,21,Scotland
Attacking Midfield,25,Iceland
Left Winger,25,Ghana
Left Winger,25,Ecuador
Left Winger,30,England
Left Winger,17,Wales
Right Winger,27,England
Right Winger,22,The Gambia
Right Winger,20,Curacao
Centre-Forward,29,France
Centre-Forward,27,Portugal
Centre-Forward,25,Italy
Centre-Forward,27,Netherlands
