position,age,nationality
Goalkeeper,27,Netherlands
Goalkeeper,24,England
Goalkeeper,29,Ireland
Goalkeeper,18,England
Centre-Back,20,DR Congo
Centre-Back,21,England
Centre-Back,29,England
Centre-Back,31,England
Centre-Back,33,Argentina
Centre-Back,22,Australia
Left-Back,23,Wales
Left-Back,22,Mali
Left-Back,18,England
Right-Back,25,Netherlands
Right-Back,20,Switzerland
Right-Back,19,England
Right-Back,18,England
Defensive Midfield,29,Cote d'Ivoire
Defensive Midfield,25,England
Defensive Midfield,26,Netherlands
Central Midfield,25,France
Central Midfield,24,Netherlands
Central Midfield,23,England
Central Midfield,21,Burundi
Central Midfield,18,Turkey
Attacking Midfield,26,Netherlands
Attacking Midfield,24,Senegal
Attacking Midfield,29,Martinique
Attacking Midfield,22,Slovenia
Left Winger,29,France
Left Winger,19,England
Right Winger,22,France
Right Winger,23,England
Right Winger,26,France
Second Striker,21,Spain
Centre-Forward,27,Cote d'Ivoire
Centre-Forward,20,Serbia
Centre-Forward,30,Senegal
Centre-Forward,25,France
Centre-Forward,23,England
Centre-Forward,18,England
Centre-Forward,19,England
