position,age,nationality
Goalkeeper,30.0,Netherlands
Goalkeeper,27.0,England
Goalkeeper,23.0,Philippines
Goalkeeper,21.0,England
Goalkeeper,20.0,Finland
Centre-Back,29.0,Netherlands
Centre-Back,28.0,Venezuela
Centre-Back,32.0,Norway
Centre-Back,28.0,Switzerland
Centre-Back,33.0,Northern Ireland
Centre-Back,21.0,England
Left-Back,28.0,England
Left-Back,32.0,Norway
Left-Back,22.0,Guyana
Right-Back,30.0,Germany
Right-Back,18.0,England
Defensive Midfield,28.0,Denmark
Defensive Midfield,32.0,Mali
Defensive Midfield,30.0,Ghana
Defensive Midfield,26.0,Montenegro
Defensive Midfield,20.0,Wales
Central Midfield,32.0,England
Central Midfield,30.0,England
Central Midfield,21.0,Switzerland
Central Midfield,36.0,Greece
Central Midfield,20.0,England
Central Midfield,18.0,Denmark
Right Midfield,34.0,Ireland
Right Midfield,20.0,England
Left Midfield,21.0,Sweden
Attacking Midfield,27.0,Costa Rica
Attacking Midfield,22.0,Germany
Attacking Midfield,24.0,Morocco
Attacking Midfield,20.0,Netherlands
Attacking Midfield,17.0,Wales
Left Winger,18.0,France
Left Winger,18.0,Sweden
Right Winger,26.0,Iran
Right Winger,20.0,Guinea-Bissau
Right Winger,16.0,England
Second Striker,30.0,United States
Centre-Forward,29.0,England
Centre-Forward,32.0,Bulgaria
Centre-Forward,25.0,Greece
Centre-Forward,27.0,Colombia
Centre-Forward,20.0,Italy
Centre-Forward,18.0,England
Centre-Forward,16.0,France
