position,age,nationality
Goalkeeper,20,England
Goalkeeper,33,Netherlands
Goalkeeper,35,Wales
Centre-Back,18,England
Centre-Back,25,United States
Centre-Back,24,England
Centre-Back,20,England
Centre-Back,31,France
Centre-Back,20,Pakistan
Centre-Back,30,England
Left-Back,30,France
Left-Back,20,England
Right-Back,21,Germany
Right-Back,19,England
Defensive Midfield,26,Senegal
Central Midfield,19,Wales
Central Midfield,24,France
Central Midfield,19,Ireland
Central Midfield,19,England
Right Midfield,20,Ghana
Right Midfield,35,Scotland
Left Midfield,31,France
Left Midfield,33,Wales
Left Midfield,26,Portugal
Left Midfield,19,England
Attacking Midfield,27,Denmark
Right Winger,31,England
Centre-Forward,23,Ghana
Centre-Forward,32,United States
Centre-Forward,32,England
Centre-Forward,18,Netherlands
Centre-Forward,30,Canada
Centre-Forward,20,Scotland
Centre-Forward,18,France
