position,age,nationality
Goalkeeper,25,Wales
Goalkeeper,34,Trinidad and Tobago
Goalkeeper,30,England
Centre-Back,22,Ireland
Centre-Back,26,England
Centre-Back,23,Guinea
Centre-Back,24,England
Centre-Back,30,England
Centre-Back,16,Scotland
Centre-Back,19,England
Left-Back,29,England
Right-Back,26,France
Right-Back,26,Wales
Defensive Midfield,32,Netherlands
Defensive Midfield,31,England
Defensive Midfield,21,England
Central Midfield,29,England
Central Midfield,24,England
Central Midfield,24,England
Central Midfield,18,England
Central Midfield,19,England
Left Midfield,31,Ireland
Left Midfield,34,England
Left Midfield,28,Hungary
Attacking Midfield,28,Brazil
Attacking Midfield,32,England
Right Winger,33,Greece
Right Winger,27,England
Second Striker,26,Australia
Centre-Forward,31,Gabon
Centre-Forward,28,Jamaica
Centre-Forward,25,Angola
Centre-Forward,25,England
Centre-Forward,39,England
Centre-Forward,25,Ireland
