position,age,nationality
Goalkeeper,24,Belgium
Goalkeeper,29,Bosnia-Herzegovina
Goalkeeper,33,Portugal
Goalkeeper,23,Croatia
Goalkeeper,22,England
Centre-Back,29,Brazil
Centre-Back,21,France
Centre-Back,30,England
Centre-Back,32,Serbia
Centre-Back,20,Denmark
Centre-Back,21,Netherlands
Centre-Back,23,Czech Republic
Centre-Back,23,Jamaica
Centre-Back,35,England
Centre-Back,20,United States
Centre-Back,22,Nigeria
Left-Back,21,Ghana
Left-Back,25,Spain
Left-Back,21,Chile
Right-Back,26,Spain
Right-Back,22,Brazil
Right-Back,22,England
Right-Back,19,Nigeria
Defensive Midfield,27,Serbia
Defensive Midfield,21,England
Defensive Midfield,19,Cote d'Ivoire
Central Midfield,29,Spain
Central Midfield,25,France
Central Midfield,23,Netherlands
Central Midfield,21,Croatia
Central Midfield,20,England
Central Midfield,21,England
Left Midfield,20,Brazil
Attacking Midfield,24,Brazil
Attacking Midfield,19,Serbia
Left Winger,25,Belgium
Left Winger,24,Ghana
Left Winger,19,Cote d'Ivoire
Left Winger,20,Brazil
Right Winger,27,Brazil
Right Winger,28,Colombia
Right Winger,28,Spain
Right Winger,25,Nigeria
Right Winger,20,Burkina Faso
Right Winger,22,Brazil
Centre-Forward,27,Spain
Centre-Forward,22,Belgium
Centre-Forward,29,France
Centre-Forward,18,England
