position,age,nationality
Goalkeeper,33,Czech Republic
Goalkeeper,26,Colombia
Goalkeeper,22,Argentina
Goalkeeper,20,England
Centre-Back,30,Germany
Centre-Back,29,France
Centre-Back,24,Brazil
Centre-Back,20,England
Centre-Back,17,Poland
Left-Back,25,England
Left-Back,29,Spain
Right-Back,29,France
Right-Back,23,England
Right-Back,20,Spain
Defensive Midfield,31,France
Defensive Midfield,24,France
Defensive Midfield,22,Egypt
Defensive Midfield,17,Algeria
Defensive Midfield,19,Finland
Defensive Midfield,17,England
Defensive Midfield,20,England
Central Midfield,30,Spain
Central Midfield,23,England
Central Midfield,24,Wales
Central Midfield,21,England
Central Midfield,33,Spain
Central Midfield,17,France
Attacking Midfield,26,Germany
Attacking Midfield,34,Czech Republic
Attacking Midfield,20,Spain
Left Winger,26,Chile
Left Winger,19,Nigeria
Right Winger,26,England
Right Winger,23,Costa Rica
Right Winger,19,Germany
Right Winger,22,Brazil
Right Winger,17,England
Centre-Forward,28,France
Centre-Forward,24,England
Centre-Forward,22,France
Centre-Forward,19,England
