position,age,nationality
Goalkeeper,28,England
Goalkeeper,32,Scotland
Goalkeeper,25,Australia
Centre-Back,30,England
Centre-Back,24,England
Centre-Back,21,England
Centre-Back,23,Ireland
Centre-Back,36,Northern Ireland
Left-Back,28,Ireland
Left-Back,25,Northern Ireland
Right-Back,23,England
Right-Back,33,Ireland
Right-Back,22,England
Right-Back,18,Northern Ireland
Midfielder,28,Scotland
Defensive Midfield,19,England
Central Midfield,29,England
Central Midfield,22,Norway
Central Midfield,30,England
Central Midfield,20,England
Right Midfield,29,Scotland
Left Midfield,32,England
Left Midfield,25,Canada
Left Winger,28,England
Centre-Forward,21,England
Centre-Forward,24,Wales
Centre-Forward,23,England
Centre-Forward,24,England
Centre-Forward,25,England
Centre-Forward,19,England
