position,age,nationality
Goalkeeper,30,Netherlands
Goalkeeper,34,Ireland
Goalkeeper,31,Greece
Goalkeeper,21,Italy
Goalkeeper,24,England
Centre-Back,26,Ireland
Centre-Back,26,France
Centre-Back,30,Serbia
Centre-Back,23,Norway
Centre-Back,31,England
Left-Back,23,France
Right-Back,26,England
Right-Back,28,Denmark
Defensive Midfield,28,Senegal
Defensive Midfield,25,England
Defensive Midfield,26,Portugal
Defensive Midfield,29,Senegal
Defensive Midfield,27,Greece
Defensive Midfield,26,Scotland
Defensive Midfield,26,Colombia
Central Midfield,22,England
Left Midfield,23,England
Attacking Midfield,24,Argentina
Attacking Midfield,25,Serbia
Left Winger,30,France
Left Winger,20,England
Right Winger,26,Serbia
Right Winger,18,Cameroon
Second Striker,24,DR Congo
Centre-Forward,32,Uruguay
Centre-Forward,26,Bulgaria
Centre-Forward,26,Zimbabwe
Centre-Forward,26,Poland
Centre-Forward,22,France
Centre-Forward,31,Croatia
Centre-Forward,21,Zambia
