position,age,nationality
Goalkeeper,24,Spain
Goalkeeper,37,Argentina
Goalkeeper,25,England
Goalkeeper,39,England
Centre-Back,26,Germany
Centre-Back,23,Denmark
Centre-Back,32,Brazil
Centre-Back,24,France
Centre-Back,33,England
Centre-Back,18,Wales
Centre-Back,26,Czech Republic
Centre-Back,26,Jamaica
Centre-Back,23,United States
Left-Back,28,Spain
Left-Back,24,Italy
Right-Back,29,Spain
Right-Back,27,Italy
Right-Back,25,England
Defensive Midfield,27,Italy
Central Midfield,28,France
Central Midfield,25,Croatia
Central Midfield,25,England
Central Midfield,23,England
Central Midfield,29,England
Central Midfield,26,Netherlands
Central Midfield,24,England
Left Midfield,23,Brazil
Left Winger,28,Belgium
Left Winger,18,England
Right Winger,30,Brazil
Right Winger,31,Spain
Centre-Forward,31,Argentina
Centre-Forward,25,Belgium
Centre-Forward,21,England
Centre-Forward,32,France
