position,age,nationality
Goalkeeper,27,England
Goalkeeper,30,Netherlands
Goalkeeper,38,England
Goalkeeper,18,England
Goalkeeper,21,Scotland
Centre-Back,25,Italy
Centre-Back,25,Denmark
Centre-Back,24,Nigeria
Centre-Back,35,Scotland
Centre-Back,33,England
Centre-Back,18,England
Left-Back,30,Portugal
Left-Back,29,Italy
Left-Back,26,Scotland
Left-Back,18,England
Right-Back,28,England
Right-Back,24,England
Defensive Midfield,31,Ireland
Defensive Midfield,28,China
Central Midfield,23,Spain
Central Midfield,24,England
Right Midfield,25,Wales
Left Midfield,28,Ireland
Attacking Midfield,25,Australia
Right Winger,25,Netherlands
Second Striker,22,Scotland
Centre-Forward,27,England
Centre-Forward,33,Scotland
Centre-Forward,27,England
Centre-Forward,16,England
Centre-Forward,17,Nigeria
