position,age,nationality
Goalkeeper,25,Scotland
Goalkeeper,34,Wales
Goalkeeper,25,Hungary
Goalkeeper,34,Ireland
Centre-Back,26,Israel
Centre-Back,23,England
Centre-Back,22,Ireland
Centre-Back,29,Gibraltar
Centre-Back,23,England
Centre-Back,27,Jamaica
Centre-Back,27,Wales
Centre-Back,25,England
Centre-Back,19,France
Centre-Back,20,England
Left-Back,23,England
Left-Back,27,Northern Ireland
Right-Back,29,Guadeloupe
Right-Back,23,Scotland
Right-Back,29,Trinidad and Tobago
Right-Back,18,England
Defensive Midfield,28,Finland
Defensive Midfield,19,England
Defensive Midfield,18,England
Central Midfield,28,France
Central Midfield,27,Ireland
Central Midfield,22,England
Central Midfield,26,England
Central Midfield,19,Northern Ireland
Central Midfield,18,England
Central Midfield,19,Ireland
Left Midfield,25,Ireland
Left Midfield,18,England
Forward,19,England
Centre-Forward,26,France
Centre-Forward,23,Trinidad and Tobago
Centre-Forward,24,England
Centre-Forward,27,Senegal
Centre-Forward,28,Northern Ireland
Centre-Forward,28,Sweden
Centre-Forward,19,Ireland
Centre-Forward,25,Ireland
Centre-Forward,31,Ireland
Centre-Forward,36,Trinidad and Tobago
Centre-Forward,18,England
